person,offer completed,offer received,offer viewed,transaction,transaction amount,reward given,transaction amount under offer,transactions completed under offer,email,mobile,social,web,bogo,discount,informational,difficulty,duration,age,income,offers viewed ratio,offers completed ratio,transactions ratio,F,M,O,cluster
51.0,3.0,5.0,4.0,17.0,614.59,13.0,140.76999999999998,13.0,5.0,3.0,2.0,4.0,0.0,3.0,2.0,9.4,6.8,73.0,45000.0,0.8,0.6,0.7647058823529411,0.0,1.0,0.0,3
52.0,3.0,4.0,2.0,11.0,236.95999999999998,9.0,193.4,9.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,8.75,7.75,55.0,94000.0,0.5,0.75,0.8181818181818182,0.0,1.0,0.0,2
53.0,0.0,4.0,4.0,1.0,4.03,0.0,4.03,1.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,7.5,6.25,60.0,74000.0,1.0,0.0,1.0,0.0,1.0,0.0,5
54.0,0.0,5.0,4.0,5.0,15.790000000000001,0.0,15.790000000000001,5.0,5.0,4.0,4.0,2.0,3.0,1.0,1.0,9.0,6.4,45.0,52000.0,0.8,0.0,1.0,0.0,1.0,0.0,5
55.0,4.0,4.0,4.0,10.0,186.23,30.0,148.72,8.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,15.0,8.5,57.0,80000.0,1.0,1.0,0.8,0.0,1.0,0.0,2
56.0,1.0,3.0,3.0,3.0,80.1,10.0,48.14,2.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,5.0,5.666666666666667,56.0,91000.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,4
57.0,1.0,3.0,2.0,3.0,76.65,2.0,51.510000000000005,2.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,3.3333333333333335,5.666666666666667,55.0,104000.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,4
58.0,0.0,3.0,2.0,3.0,6.55,0.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,5.0,4.666666666666667,55.0,64000.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,4
59.0,5.0,5.0,3.0,11.0,144.97,22.0,135.26,9.0,5.0,3.0,3.0,5.0,2.0,3.0,0.0,12.0,8.0,19.0,50000.0,0.6,1.0,0.8181818181818182,0.0,1.0,0.0,3
60.0,1.0,5.0,2.0,10.0,21.24,5.0,13.66,4.0,5.0,5.0,2.0,4.0,1.0,0.0,4.0,1.0,4.0,55.0,64000.0,0.4,0.2,0.4,0.0,0.0,0.0,10
61.0,4.0,6.0,4.0,18.0,129.85999999999999,16.0,114.53,16.0,6.0,5.0,4.0,4.0,2.0,3.0,1.0,8.166666666666666,6.833333333333333,68.0,32000.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,0.0,0.0,3
62.0,1.0,4.0,3.0,5.0,20.200000000000003,2.0,9.89,4.0,4.0,4.0,3.0,4.0,0.0,4.0,0.0,8.5,7.75,52.0,38000.0,0.75,0.25,0.8,0.0,1.0,0.0,9
63.0,0.0,4.0,4.0,3.0,64.03999999999999,0.0,27.57,1.0,4.0,3.0,2.0,3.0,0.0,2.0,2.0,7.5,6.75,57.0,55000.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,10
64.0,3.0,6.0,2.0,6.0,191.68,17.0,57.4,2.0,6.0,5.0,3.0,5.0,3.0,2.0,1.0,8.333333333333334,7.166666666666667,86.0,109000.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.0,0.0,7
65.0,2.0,5.0,3.0,6.0,176.74,7.0,148.17000000000002,5.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,4.0,5.8,54.0,117000.0,0.6,0.4,0.8333333333333334,1.0,0.0,0.0,10
66.0,0.0,6.0,6.0,11.0,9.98,0.0,7.82,9.0,6.0,6.0,6.0,4.0,3.0,1.0,2.0,4.166666666666667,5.166666666666667,55.0,64000.0,1.0,0.0,0.8181818181818182,0.0,0.0,0.0,5
67.0,3.0,5.0,5.0,20.0,69.17999999999999,10.0,68.22,17.0,5.0,5.0,3.0,5.0,3.0,2.0,0.0,7.4,6.2,58.0,54000.0,1.0,0.6,0.85,0.0,1.0,0.0,3
68.0,2.0,4.0,3.0,8.0,154.99,15.0,129.16,7.0,4.0,4.0,3.0,3.0,3.0,0.0,1.0,5.0,5.0,86.0,73000.0,0.75,0.5,0.875,1.0,0.0,0.0,10
69.0,3.0,4.0,4.0,9.0,186.54,15.0,172.79000000000002,8.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,7.5,5.75,67.0,79000.0,1.0,0.75,0.8888888888888888,0.0,1.0,0.0,2
70.0,0.0,5.0,3.0,4.0,6.32,0.0,2.62,3.0,5.0,5.0,3.0,4.0,1.0,3.0,1.0,6.8,6.4,70.0,60000.0,0.6,0.0,0.75,0.0,1.0,0.0,5
71.0,5.0,5.0,5.0,16.0,417.92999999999995,27.0,362.87,14.0,5.0,4.0,3.0,4.0,3.0,2.0,0.0,10.0,7.8,61.0,118000.0,1.0,1.0,0.875,1.0,0.0,0.0,7
72.0,3.0,6.0,5.0,10.0,287.10999999999996,14.0,261.61,9.0,6.0,6.0,5.0,3.0,1.0,2.0,3.0,5.0,6.166666666666667,52.0,115000.0,0.8333333333333334,0.5,0.9,1.0,0.0,0.0,7
73.0,0.0,4.0,4.0,10.0,7.939999999999999,0.0,6.609999999999999,9.0,4.0,4.0,2.0,4.0,1.0,3.0,0.0,8.0,7.75,55.0,64000.0,1.0,0.0,0.9,0.0,0.0,0.0,5
74.0,3.0,3.0,3.0,10.0,199.64999999999998,20.0,174.33999999999997,9.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,11.666666666666666,6.666666666666667,70.0,76000.0,1.0,1.0,0.9,1.0,0.0,0.0,2
75.0,5.0,5.0,5.0,10.0,235.41,19.0,235.41,10.0,5.0,5.0,4.0,4.0,1.0,4.0,0.0,9.4,8.2,56.0,99000.0,1.0,1.0,1.0,0.0,1.0,0.0,7
76.0,1.0,5.0,1.0,3.0,18.28,2.0,10.559999999999999,2.0,5.0,4.0,0.0,5.0,0.0,3.0,2.0,8.0,6.4,44.0,35000.0,0.2,0.2,0.6666666666666666,1.0,0.0,0.0,9
77.0,0.0,5.0,4.0,6.0,14.290000000000001,0.0,8.84,4.0,5.0,5.0,3.0,3.0,4.0,0.0,1.0,7.0,6.0,46.0,35000.0,0.8,0.0,0.6666666666666666,0.0,1.0,0.0,5
78.0,2.0,4.0,3.0,5.0,83.2,7.0,60.379999999999995,3.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,8.75,6.5,84.0,74000.0,0.75,0.5,0.6,1.0,0.0,0.0,2
79.0,0.0,4.0,3.0,5.0,10.330000000000002,0.0,6.970000000000001,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,8.75,5.75,22.0,57000.0,0.75,0.0,0.6,0.0,1.0,0.0,9
80.0,4.0,4.0,4.0,8.0,161.51000000000002,27.0,136.73,7.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,12.5,8.5,62.0,90000.0,1.0,1.0,0.875,0.0,1.0,0.0,2
81.0,1.0,6.0,2.0,3.0,45.79,2.0,19.04,1.0,6.0,6.0,3.0,4.0,1.0,2.0,3.0,4.166666666666667,5.666666666666667,57.0,79000.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,0.0,0.0,10
82.0,0.0,5.0,2.0,15.0,55.18000000000001,0.0,22.93,5.0,5.0,4.0,2.0,3.0,0.0,3.0,2.0,8.0,6.0,24.0,56000.0,0.4,0.0,0.3333333333333333,0.0,1.0,0.0,9
83.0,3.0,6.0,5.0,9.0,131.04999999999998,9.0,104.38999999999999,7.0,6.0,5.0,2.0,6.0,0.0,3.0,3.0,6.666666666666667,7.0,66.0,57000.0,0.8333333333333334,0.5,0.7777777777777778,1.0,0.0,0.0,7
84.0,3.0,4.0,2.0,9.0,198.08999999999997,17.0,103.08999999999999,5.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,10.0,7.0,68.0,76000.0,0.5,0.75,0.5555555555555556,1.0,0.0,0.0,2
85.0,1.0,4.0,3.0,8.0,58.28000000000001,5.0,26.51,4.0,4.0,4.0,3.0,3.0,3.0,0.0,1.0,5.0,5.25,54.0,30000.0,0.75,0.25,0.5,1.0,0.0,0.0,10
86.0,3.0,4.0,3.0,13.0,151.82999999999998,25.0,92.5,8.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,10.0,6.5,20.0,43000.0,0.75,0.75,0.6153846153846154,0.0,1.0,0.0,3
87.0,2.0,5.0,5.0,13.0,110.51999999999998,7.0,103.78,12.0,5.0,4.0,1.0,5.0,1.0,2.0,2.0,7.0,6.0,56.0,35000.0,1.0,0.4,0.9230769230769231,0.0,1.0,0.0,3
88.0,3.0,6.0,5.0,10.0,1003.4100000000001,18.0,1003.4100000000001,10.0,6.0,6.0,4.0,3.0,2.0,2.0,2.0,5.333333333333333,5.666666666666667,61.0,100000.0,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,1
89.0,1.0,5.0,4.0,18.0,50.55,2.0,42.7,16.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0,7.0,7.0,72.0,45000.0,0.8,0.2,0.8888888888888888,0.0,1.0,0.0,3
90.0,2.0,6.0,6.0,3.0,64.33000000000001,8.0,45.14,2.0,6.0,6.0,2.0,5.0,2.0,1.0,3.0,2.8333333333333335,5.333333333333333,61.0,78000.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,10
91.0,4.0,5.0,5.0,13.0,98.65,20.0,91.36,11.0,5.0,5.0,4.0,4.0,4.0,0.0,1.0,4.0,5.0,61.0,34000.0,1.0,0.8,0.8461538461538461,0.0,1.0,0.0,7
92.0,2.0,2.0,2.0,2.0,37.04,10.0,37.04,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,5.0,6.0,75.0,109000.0,1.0,1.0,1.0,1.0,0.0,0.0,4
93.0,3.0,4.0,2.0,2.0,54.620000000000005,25.0,54.620000000000005,2.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,8.75,5.5,57.0,116000.0,0.5,0.75,1.0,1.0,0.0,0.0,2
94.0,0.0,6.0,4.0,2.0,6.05,0.0,3.84,1.0,6.0,5.0,4.0,5.0,1.0,4.0,1.0,8.666666666666666,7.833333333333333,55.0,64000.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,5
95.0,5.0,5.0,4.0,10.0,248.64999999999998,27.0,248.65,10.0,5.0,5.0,3.0,4.0,2.0,3.0,0.0,9.4,6.6,52.0,95000.0,0.8,1.0,1.0,0.0,1.0,0.0,7
96.0,1.0,4.0,3.0,4.0,61.120000000000005,5.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,3.0,1.0,12.5,8.5,60.0,51000.0,0.75,0.25,0.0,1.0,0.0,0.0,9
97.0,4.0,4.0,3.0,10.0,222.95999999999998,30.0,196.89,9.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,11.25,6.75,74.0,72000.0,0.75,1.0,0.9,1.0,0.0,0.0,2
98.0,3.0,5.0,4.0,21.0,141.2,9.0,132.49,20.0,5.0,5.0,3.0,4.0,3.0,2.0,0.0,9.0,7.2,23.0,33000.0,0.8,0.6,0.9523809523809523,1.0,0.0,0.0,3
99.0,0.0,5.0,2.0,7.0,16.48,0.0,4.33,2.0,5.0,5.0,2.0,5.0,2.0,3.0,0.0,8.4,6.6,27.0,39000.0,0.4,0.0,0.2857142857142857,0.0,1.0,0.0,9
100.0,2.0,3.0,1.0,8.0,515.0899999999999,10.0,78.31,4.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,15.0,9.0,59.0,76000.0,0.3333333333333333,0.6666666666666666,0.5,0.0,1.0,0.0,9
101.0,2.0,4.0,2.0,6.0,156.05,7.0,106.76,4.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,3.75,5.5,74.0,91000.0,0.5,0.5,0.6666666666666666,1.0,0.0,0.0,10
102.0,1.0,3.0,3.0,3.0,57.099999999999994,3.0,31.36,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,5.666666666666667,5.666666666666667,55.0,79000.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,4
103.0,4.0,4.0,4.0,5.0,644.2899999999998,22.0,644.2899999999998,5.0,4.0,4.0,2.0,3.0,3.0,1.0,0.0,7.5,7.75,87.0,77000.0,1.0,1.0,1.0,1.0,0.0,0.0,1
104.0,5.0,6.0,4.0,12.0,251.45999999999998,32.0,214.0,10.0,6.0,5.0,3.0,4.0,3.0,2.0,1.0,9.166666666666666,7.5,53.0,88000.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0,7
105.0,4.0,5.0,5.0,12.0,162.90000000000003,16.0,151.81,11.0,5.0,4.0,2.0,5.0,1.0,4.0,0.0,12.0,7.8,48.0,52000.0,1.0,0.8,0.9166666666666666,0.0,1.0,0.0,3
106.0,0.0,3.0,1.0,8.0,39.739999999999995,0.0,7.67,2.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,6.666666666666667,5.666666666666667,49.0,73000.0,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,4
107.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,1.0,2.0,2.0,7.0,6.6,44.0,76000.0,0.8,0.0,-1.0,1.0,0.0,0.0,6
108.0,2.0,4.0,3.0,7.0,765.8800000000001,6.0,701.6600000000001,4.0,4.0,4.0,3.0,3.0,0.0,2.0,2.0,3.5,5.25,53.0,84000.0,0.75,0.5,0.5714285714285714,1.0,0.0,0.0,1
109.0,2.0,4.0,1.0,4.0,86.25999999999999,15.0,33.58,2.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,10.0,6.5,60.0,74000.0,0.25,0.5,0.5,1.0,0.0,0.0,9
110.0,1.0,4.0,3.0,15.0,101.19,2.0,39.33,8.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,7.5,6.25,29.0,31000.0,0.75,0.25,0.5333333333333333,1.0,0.0,0.0,10
111.0,2.0,5.0,3.0,8.0,181.16000000000003,4.0,153.94000000000003,7.0,5.0,5.0,4.0,3.0,1.0,2.0,2.0,6.0,6.8,54.0,119000.0,0.6,0.4,0.875,1.0,0.0,0.0,10
112.0,1.0,6.0,4.0,9.0,13.08,5.0,13.08,9.0,6.0,4.0,3.0,6.0,1.0,5.0,0.0,12.0,8.166666666666666,55.0,64000.0,0.6666666666666666,0.16666666666666666,1.0,0.0,0.0,0.0,5
113.0,0.0,5.0,4.0,8.0,17.96,0.0,16.36,7.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,6.4,5.6,20.0,43000.0,0.8,0.0,0.875,1.0,0.0,0.0,5
114.0,2.0,4.0,1.0,5.0,135.57999999999998,8.0,116.01999999999998,4.0,4.0,3.0,1.0,4.0,0.0,3.0,1.0,9.25,7.0,70.0,92000.0,0.25,0.5,0.8,1.0,0.0,0.0,2
115.0,1.0,4.0,2.0,3.0,53.92,2.0,37.11,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,3.75,5.0,69.0,79000.0,0.5,0.25,0.6666666666666666,1.0,0.0,0.0,10
116.0,2.0,2.0,2.0,8.0,166.58999999999997,15.0,94.83999999999999,4.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,7.5,7.0,63.0,89000.0,1.0,1.0,0.5,0.0,0.0,1.0,8
117.0,2.0,4.0,3.0,5.0,97.64,7.0,97.64,5.0,4.0,3.0,3.0,2.0,0.0,2.0,2.0,7.5,6.5,62.0,62000.0,0.75,0.5,1.0,1.0,0.0,0.0,2
118.0,0.0,1.0,1.0,10.0,161.89000000000001,0.0,19.92,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,44.0,64000.0,1.0,0.0,0.2,0.0,1.0,0.0,4
119.0,4.0,6.0,4.0,9.0,139.41000000000003,17.0,139.41,9.0,6.0,6.0,3.0,4.0,4.0,1.0,1.0,5.833333333333333,6.0,54.0,58000.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,7
